unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
12061,3,5:00,"Ciryl Gane",1,0,0,0,0,3,27,5,9,2,2,0:00,0:00
12063,3,5:00,"Ciryl Gane",2,0,0,0,1,14,40,6,6,1,1,0:00,0:00
12065,3,5:00,"Ciryl Gane",3,0,0,0,0,19,58,11,12,4,5,0:00,0:00
9491,3,5:00,"SeungWoo Choi",1,0,0,0,0,17,40,9,13,1,1,1:36,0:29
9493,3,5:00,"SeungWoo Choi",2,1,0,0,0,33,69,11,13,0,0,2:44,0:00
9495,3,5:00,"SeungWoo Choi",3,0,0,0,0,16,42,6,7,2,2,2:29,0:00
3182,3,5:00,"Omar Morales",1,0,0,1,1,3,10,4,4,0,0,3:11,0:00
3184,3,5:00,"Omar Morales",2,0,0,0,0,6,32,5,5,0,0,0:00,0:00
3186,3,5:00,"Omar Morales",3,1,0,0,0,13,36,0,1,1,1,2:54,0:00
8993,1,4:17,"Alexandre Pantoja",1,1,0,1,1,32,60,0,0,2,2,1:14,0:00
9969,3,5:00,"Raoni Barcelos",1,0,0,0,2,2,16,3,4,4,6,0:00,0:00
9971,3,5:00,"Raoni Barcelos",2,0,0,1,2,7,17,2,5,11,13,0:42,0:00
9973,3,5:00,"Raoni Barcelos",3,0,0,1,1,7,28,3,7,3,4,1:57,0:14
13552,1,3:43,"Amanda Lemos",1,0,1,1,1,6,9,0,1,2,2,2:20,0:06
10975,3,5:00,"Heili Alateng",1,0,0,0,1,9,46,1,2,2,2,0:15,0:00
10977,3,5:00,"Heili Alateng",2,0,0,0,0,13,49,9,10,6,6,0:00,0:00
10979,3,5:00,"Heili Alateng",3,0,0,4,12,5,13,1,1,1,2,3:05,0:00
12597,5,5:00,"Valentina Shevchenko",1,0,0,0,0,3,18,0,1,4,7,0:00,0:00
12599,5,5:00,"Valentina Shevchenko",2,0,0,0,0,5,24,2,6,5,7,0:00,0:00
12601,5,5:00,"Valentina Shevchenko",3,0,0,1,1,3,15,1,3,7,10,1:33,0:00
12603,5,5:00,"Valentina Shevchenko",4,0,0,0,0,3,9,0,0,3,3,3:00,0:00
12605,5,5:00,"Valentina Shevchenko",5,0,0,0,0,2,7,1,2,3,3,3:17,0:00
2343,3,5:00,"Vicente Luque",1,0,0,0,0,12,38,4,4,12,19,0:00,0:00
2345,3,5:00,"Vicente Luque",2,0,0,0,0,28,65,1,3,12,14,0:00,0:51
2347,3,5:00,"Vicente Luque",3,0,1,0,0,3,22,1,2,11,12,0:00,2:29
9351,3,5:00,"Eduardo Garagorri",1,0,0,1,1,11,22,2,4,4,5,0:52,1:55
9353,3,5:00,"Eduardo Garagorri",2,0,0,0,0,12,27,5,8,4,4,0:43,0:21
9355,3,5:00,"Eduardo Garagorri",3,0,0,0,0,23,35,4,9,0,1,0:34,1:17
7709,2,4:31,"Volkan Oezdemir",1,0,0,0,0,12,35,4,4,6,6,0:12,1:06
7711,2,4:31,"Volkan Oezdemir",2,2,0,0,0,32,79,7,10,3,3,0:13,0:00
10245,2,4:26,"Rodolfo Vieira",1,0,0,1,3,9,19,1,2,0,0,2:39,0:00
10247,2,4:26,"Rodolfo Vieira",2,0,1,2,4,7,17,0,0,1,1,2:51,0:00
