unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
7710,2,4:31,"Ilir Latifi",1,0,0,1,5,5,18,0,1,0,0,1:06,0:12
7712,2,4:31,"Ilir Latifi",2,0,0,0,0,11,36,2,5,0,0,0:00,0:13
10246,2,4:26,"Oskar Piechota",1,0,0,0,0,16,23,2,4,0,0,0:00,2:39
10248,2,4:26,"Oskar Piechota",2,0,0,0,0,3,13,1,3,0,0,0:00,2:51
7528,3,5:00,"Bobby Moffett",1,0,0,0,0,11,52,7,9,6,7,0:00,0:04
7530,3,5:00,"Bobby Moffett",2,0,0,0,1,21,65,8,12,4,4,0:10,0:17
7532,3,5:00,"Bobby Moffett",3,0,0,0,0,24,71,6,11,3,5,0:14,0:18
3686,3,5:00,"Aleksei Kunchenko",1,0,0,0,0,2,9,0,1,5,5,0:00,3:07
3688,3,5:00,"Aleksei Kunchenko",2,0,0,0,1,5,29,5,11,6,7,0:12,1:46
3690,3,5:00,"Aleksei Kunchenko",3,0,0,0,0,13,25,2,5,9,10,0:16,2:05
12088,1,4:12,"Raphael Pessoa",1,0,0,0,2,5,36,2,3,0,2,0:01,0:33
12225,3,5:00,"Tecia Torres",1,0,0,0,2,7,29,4,6,3,3,0:28,0:07
12227,3,5:00,"Tecia Torres",2,0,0,0,3,6,25,6,11,3,7,0:41,0:44
12229,3,5:00,"Tecia Torres",3,0,0,0,2,4,16,7,9,1,2,0:19,1:33
11966,1,2:56,"Raulian Paiva",1,0,0,0,0,3,14,0,1,0,0,0:00,1:19
11603,3,5:00,"Geraldo de Freitas",1,0,0,1,4,1,23,4,4,3,4,0:44,0:06
11605,3,5:00,"Geraldo de Freitas",2,0,0,1,2,1,13,1,1,0,0,1:12,1:33
11607,3,5:00,"Geraldo de Freitas",3,0,0,0,1,24,59,5,7,1,1,0:12,1:17
7993,3,5:00,"Kazula Vargas",1,0,0,0,0,8,12,0,0,0,0,0:18,4:30
7995,3,5:00,"Kazula Vargas",2,0,0,0,1,3,10,1,1,2,2,0:00,4:15
7997,3,5:00,"Kazula Vargas",3,0,0,0,0,5,15,1,2,0,0,0:00,3:16
13312,1,1:09,"Polyana Viana",1,0,0,1,1,0,1,1,2,0,0,0:43,0:04
NULL,1,4:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,30:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,10:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,4:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2148,5,5:00,"Hyun Gyu Lim",1,0,0,0,0,21,35,8,9,1,1,0:17,0:00
