unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
31072,6403,640,2,"Corey Anderson",0,27,57,2,5,0,1:42,0,1,13,39,3,4,3,3,15,36,4,9,0,1
31073,6403,640,3,"Mauricio Rua",0,14,22,0,0,0,0:00,0,0,1,8,1,1,2,3,3,11,1,1,0,0
31074,6403,640,3,"Corey Anderson",0,38,53,2,3,0,3:33,0,1,3,14,2,2,1,1,2,12,1,2,3,3
31075,6346,635,1,"Fabio Maldonado",0,47,70,0,0,1,0:04,0,0,19,35,12,19,0,0,25,45,6,9,0,0
31076,6346,635,1,"Kyle Kingsbury",0,48,94,2,3,0,0:58,0,1,23,61,8,12,11,15,26,65,13,19,3,4
31077,6346,635,2,"Fabio Maldonado",0,28,56,0,0,1,0:36,1,0,4,24,8,15,1,1,10,31,3,8,0,1
31078,6346,635,2,"Kyle Kingsbury",0,34,60,2,6,0,1:08,0,1,11,30,10,12,8,11,22,43,7,10,0,0
31079,6346,635,3,"Fabio Maldonado",0,47,63,2,2,0,0:54,0,0,22,34,12,16,0,0,28,43,5,6,1,1
31080,6346,635,3,"Kyle Kingsbury",0,28,55,1,5,0,0:31,0,0,9,29,6,7,9,14,18,41,6,9,0,0
31081,6835,700,1,"Cyrille Diabate",1,9,10,2,2,1,1:56,0,4,6,6,0,1,0,0,1,2,3,3,2,2
31082,6835,700,1,"Chad Griggs",0,4,6,1,2,0,0:07,0,0,0,1,1,1,1,1,2,2,0,1,0,0
31083,6550,654,1,"Alberto Uda",0,21,27,1,2,0,3:32,0,0,3,8,1,1,0,0,1,5,0,0,3,4
31084,6550,654,1,"Marvin Vettori",0,50,68,1,1,1,0:26,0,0,10,14,0,0,0,0,2,4,0,0,8,10
31085,6319,632,1,"David Branch",0,14,28,1,1,0,3:15,0,0,1,13,0,1,2,2,0,9,0,0,3,7
31086,6319,632,1,"Rousimar Palhares",0,2,3,0,1,2,0:00,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31087,6319,632,2,"David Branch",0,3,7,0,0,0,0:04,0,0,1,5,2,2,0,0,3,7,0,0,0,0
31088,6319,632,2,"Rousimar Palhares",0,2,2,0,1,1,0:26,0,0,2,2,0,0,0,0,2,2,0,0,0,0
31089,7081,740,1,"Eric Spicely",0,11,58,0,3,0,1:02,0,0,8,50,0,5,3,3,11,57,0,1,0,0
31090,7081,740,1,"Darren Stewart",0,17,50,0,0,0,0:00,0,0,11,44,6,6,0,0,14,46,3,4,0,0
31091,7081,740,2,"Eric Spicely",0,8,21,0,1,0,0:01,0,0,3,16,0,0,1,1,4,17,0,0,0,0
31092,7081,740,2,"Darren Stewart",1,17,40,0,0,0,0:15,0,0,15,36,2,4,0,0,11,28,1,2,5,10
31093,7057,736,1,"Keith Jardine ",0,3,11,0,0,0,0:00,0,0,1,9,0,0,0,0,1,9,0,0,0,0
31094,7057,736,1,"Roger Gracie",0,22,27,2,3,0,4:00,0,3,17,22,1,1,0,0,2,3,1,1,15,19
31095,7057,736,2,"Keith Jardine ",0,2,9,0,0,0,0:00,0,0,0,7,0,0,0,0,0,7,0,0,0,0
31096,7057,736,2,"Roger Gracie",0,12,15,1,1,2,4:11,0,2,4,6,1,1,0,0,2,2,0,0,3,5
31097,7057,736,3,"Keith Jardine ",0,6,29,0,0,0,0:00,0,0,3,25,2,2,1,2,5,26,1,3,0,0
31098,7057,736,3,"Roger Gracie",0,12,30,0,2,0,0:14,0,0,7,21,5,9,0,0,10,22,2,8,0,0
31099,7064,737,1,"Luke Rockhold",2,34,55,0,0,0,1:06,0,0,21,41,12,13,1,1,15,32,11,12,8,11
31100,7064,737,1,"Keith Jardine ",0,17,38,0,1,0,0:22,0,0,4,21,3,5,7,9,10,30,4,5,0,0
31101,6466,646,1,"Houston Alexander ",2,17,20,0,0,0,0:20,0,0,14,17,2,2,1,1,1,1,13,15,3,4
31102,6466,646,1,"Keith Jardine ",0,6,9,0,0,0,0:00,0,0,4,7,1,1,0,0,3,4,2,4,0,0
31103,7049,735,1,"TJ Cook ",0,10,19,1,2,0,--,1,0,6,14,2,3,0,0,7,14,0,0,1,3
31104,7049,735,1,"Trevor Smith",0,13,21,0,0,2,--,2,3,2,5,3,5,6,9,8,15,0,0,3,4
31105,7041,734,1,"Ovince Saint Preux",1,22,54,1,1,0,0:17,0,2,15,46,5,6,0,0,8,27,5,10,7,15
31106,7041,734,1,"TJ Cook ",0,22,43,0,0,0,1:42,0,0,11,29,9,12,2,2,9,23,12,19,1,1
31107,7041,734,2,"Ovince Saint Preux",0,16,31,1,1,0,0:00,0,2,11,26,2,2,2,2,9,19,0,0,6,11
