fight_id,ending_round,ending_time,unique_round_id,round_number,fighter_name,fighter_knockdowns,fighter_total_strikes_landed,fighter_total_strikes_attempted,fighter_takedowns,fighter_takedowns_attempted,fighter_submission_attempts,fighter_reversals,fighter_control_time,fighter_significant_strikes_head_landed,fighter_significant_strikes_head_attempted,fighter_significant_strikes_body_landed,fighter_significant_strikes_body_attempted,fighter_significant_strikes_leg_landed,fighter_significant_strikes_leg_attempted,fighter_significant_strikes_standing_landed,fighter_significant_strikes_standing_attempted,fighter_significant_strikes_clinch_landed,fighter_significant_strikes_clinch_attempted,fighter_significant_strikes_ground_landed,fighter_significant_strikes_ground_attempted,opponent_knockdowns,opponent_total_strikes_landed,opponent_total_strikes_attempted,opponent_takedowns,opponent_takedowns_attempted,opponent_submission_attempts,opponent_control_time,opponent_reversals,opponent_significant_strikes_head_landed,opponent_significant_strikes_head_attempted,opponent_significant_strikes_body_landed,opponent_significant_strikes_body_attempted,opponent_significant_strikes_leg_landed,opponent_significant_strikes_leg_attempted,opponent_significant_strikes_standing_landed,opponent_significant_strikes_standing_attempted,opponent_significant_strikes_clinch_landed,opponent_significant_strikes_clinch_attempted,opponent_significant_strikes_ground_landed,opponent_significant_strikes_ground_attempted
5655,1,2:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5656,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5657,3,2:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5658,1,0:27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,10,12,0,0,0,0:13,0,10,12,0,0,0,0,1,1,0,0,9,11
5659,3,5:00,15800,1,"Aaron Riley",0,19,40,0,1,0,0,0:00,4,21,5,5,7,11,10,29,6,8,0,0,1,33,70,1,2,0,1:22,0,21,56,3,4,1,2,16,40,5,13,4,9
5659,3,5:00,15802,2,"Aaron Riley",0,52,90,0,0,0,0,0:11,14,47,10,11,8,11,16,39,16,30,0,0,0,19,46,2,2,0,1:41,0,12,39,2,2,1,1,8,29,7,13,0,0
5659,3,5:00,15804,3,"Aaron Riley",0,22,40,0,2,1,0,1:15,0,15,3,4,4,5,5,15,2,9,0,0,0,35,60,3,4,0,1:26,0,19,42,4,5,1,2,10,25,9,15,5,9
5660,5,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5661,3,3:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5662,2,0:44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5663,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5664,2,2:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5665,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5666,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5667,2,1:14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5668,1,3:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5669,1,2:42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,11,13,0,1,0,0:08,0,3,5,3,3,0,0,0,2,4,4,2,2
5670,1,4:21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,21,28,1,1,1,3:35,0,10,17,0,0,0,0,0,1,0,0,10,16
5671,2,2:42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5672,1,1:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5673,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,45,57,2,2,0,4:22,0,7,11,1,2,0,0,0,1,1,1,7,11
5673,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,41,46,1,1,0,4:55,0,3,4,3,3,0,0,0,0,0,0,6,7
5673,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,33,43,0,0,0,4:57,0,2,7,1,1,0,0,1,1,0,0,2,7
5674,3,1:23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5675,1,1:05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5676,2,1:27,18300,1,"Michael Bisping",0,10,52,0,1,0,0,0:00,7,47,0,2,3,3,10,51,0,1,0,0,0,10,37,0,0,0,0:00,0,5,31,4,5,0,0,8,34,1,2,0,0
5676,2,1:27,18302,2,"Michael Bisping",0,4,14,0,0,0,0,0:00,1,10,0,0,3,4,4,14,0,0,0,0,1,9,17,0,0,0,0:06,0,7,15,2,2,0,0,4,10,0,0,5,7
5677,3,5:00,19367,1,"Daniel Sarafian",1,18,44,0,0,0,0,0:12,12,35,6,9,0,0,17,43,0,0,1,1,0,13,46,0,2,0,0:04,0,7,39,3,4,3,3,13,46,0,0,0,0
5677,3,5:00,19369,2,"Daniel Sarafian",0,16,42,0,5,0,0,0:26,10,29,6,13,0,0,15,41,1,1,0,0,0,43,81,0,0,0,0:16,0,34,71,4,5,3,3,23,52,1,4,17,23
5677,3,5:00,19371,3,"Daniel Sarafian",0,7,16,0,1,0,0,1:19,4,11,0,1,0,0,3,11,1,1,0,0,0,17,37,2,4,0,2:06,1,6,24,2,3,0,0,7,23,1,1,0,3
5678,2,1:01,23744,1,"Ben Rothwell",0,13,26,0,0,0,0,0:22,8,19,2,2,0,0,8,17,2,4,0,0,0,16,24,3,8,0,2:18,0,8,14,4,6,1,1,6,10,7,11,0,0
5678,2,1:01,23746,2,"Ben Rothwell",0,2,6,0,0,0,0,0:15,2,6,0,0,0,0,1,5,1,1,0,0,0,4,7,0,0,1,0:00,0,3,6,1,1,0,0,3,6,1,1,0,0
5679,1,1:55,16455,1,"Thiago Tavares",0,2,10,0,0,0,0,0:00,0,7,1,2,1,1,2,10,0,0,0,0,1,22,31,0,0,0,0:13,0,22,29,0,2,0,0,5,12,0,0,17,19
5680,3,5:00,20704,1,"Milton Vieira",0,20,28,2,3,0,0,2:48,2,9,2,2,0,0,1,7,1,1,2,3,0,18,31,0,0,0,0:21,0,7,18,1,1,6,8,11,23,3,4,0,0
5680,3,5:00,20706,2,"Milton Vieira",0,5,8,1,1,0,0,1:27,0,0,1,1,0,0,1,1,0,0,0,0,0,62,70,0,0,0,3:14,1,7,10,1,1,0,0,2,5,0,0,6,6
5680,3,5:00,20708,3,"Milton Vieira",0,33,48,2,2,0,0,1:46,6,16,3,3,3,3,10,20,2,2,0,0,0,24,52,0,1,0,0:37,0,4,28,3,3,7,7,13,36,1,2,0,0
